cell_id,cell_latitude,cell_longitude,station_latitude,station_longitude,station_name
8801,45.543888581366800,9.013033829886810,45.513390000000000,9.005838000000000,ILOMBARD131
8802,45.543888198241000,9.016044100072330,45.513390000000000,9.005838000000000,ILOMBARD131
8803,45.543887735789600,9.019054370190940,45.513390000000000,9.005838000000000,ILOMBARD131
8804,45.543887194012600,9.022064640230060,45.513390000000000,9.005838000000000,ILOMBARD131
8805,45.543886572910100,9.025074910177150,45.513390000000000,9.005838000000000,ILOMBARD131
8806,45.543885872481900,9.028085180019640,45.513390000000000,9.005838000000000,ILOMBARD131
8807,45.543885092728200,9.031095449744990,45.513390000000000,9.005838000000000,ILOMBARD131
8808,45.543884233649000,9.034105719340630,45.513390000000000,9.005838000000000,ILOMBARD131
8809,45.543883295244100,9.037115988794000,45.513390000000000,9.005838000000000,ILOMBARD131
8810,45.543882277513800,9.040126258092560,45.513390000000000,9.005838000000000,ILOMBARD131
8811,45.543881180457900,9.043136527223740,45.513390000000000,9.005838000000000,ILOMBARD131
8812,45.543880004076500,9.046146796174990,45.513390000000000,9.005838000000000,ILOMBARD131
8813,45.543878748369600,9.049157064933750,45.513390000000000,9.005838000000000,ILOMBARD131
8814,45.543877413337200,9.052167333487480,45.513390000000000,9.005838000000000,ILOMBARD131
8815,45.543875998979300,9.055177601823590,45.513390000000000,9.005838000000000,ILOMBARD131
8816,45.543874505295900,9.058187869929550,45.513390000000000,9.005838000000000,ILOMBARD131
8817,45.543872932287100,9.061198137792800,45.513390000000000,9.005838000000000,ILOMBARD131
8818,45.543871279952900,9.064208405400770,45.513390000000000,9.005838000000000,ILOMBARD131
8819,45.543869548293300,9.067218672740920,45.513390000000000,9.005838000000000,ILOMBARD131
8820,45.543867737308300,9.070228939800680,45.513390000000000,9.005838000000000,ILOMBARD131
8821,45.543865846997900,9.073239206567510,45.513390000000000,9.005838000000000,ILOMBARD131
8822,45.543863877362100,9.076249473028840,45.513390000000000,9.005838000000000,ILOMBARD131
8823,45.543861828401000,9.079259739172120,45.513390000000000,9.005838000000000,ILOMBARD131
8824,45.543859700114700,9.082270004984780,45.513390000000000,9.005838000000000,ILOMBARD131
8825,45.543857492503000,9.085280270454290,45.513390000000000,9.005838000000000,ILOMBARD131
8826,45.543855205566100,9.088290535568070,45.513390000000000,9.005838000000000,ILOMBARD131
8827,45.543852839303900,9.091300800313570,45.513390000000000,9.005838000000000,ILOMBARD131
8828,45.543850393716600,9.094311064678250,45.513390000000000,9.005838000000000,ILOMBARD131
8829,45.543847868804000,9.097321328649520,45.513390000000000,9.005838000000000,ILOMBARD131
8830,45.543845264566300,9.100331592214860,45.636318000000000,9.076326999999990,ILOMBARD245
8831,45.543842581003500,9.103341855361680,45.636318000000000,9.076326999999990,ILOMBARD245
8832,45.543839818115600,9.106352118077460,45.453650000000000,9.133364000000000,ILOMBARD204
8833,45.543836975902600,9.109362380349610,45.453650000000000,9.133364000000000,ILOMBARD204
8834,45.543834054364600,9.112372642165590,45.453650000000000,9.133364000000000,ILOMBARD204
8835,45.543831053501600,9.115382903512840,45.453650000000000,9.133364000000000,ILOMBARD204
8836,45.543827973313600,9.118393164378810,45.453650000000000,9.133364000000000,ILOMBARD204
8837,45.543824813800600,9.121403424750940,45.453650000000000,9.133364000000000,ILOMBARD204
8838,45.543821574962800,9.124413684616670,45.453650000000000,9.133364000000000,ILOMBARD204
8839,45.543818256800100,9.127423943963450,45.453650000000000,9.133364000000000,ILOMBARD204
8840,45.543814859312600,9.130434202778720,45.453650000000000,9.133364000000000,ILOMBARD204
8841,45.543811382500300,9.133444461049920,45.453650000000000,9.133364000000000,ILOMBARD204
8842,45.543807826363200,9.136454718764500,45.453650000000000,9.133364000000000,ILOMBARD204
8843,45.543804190901400,9.139464975909910,45.453650000000000,9.133364000000000,ILOMBARD204
8844,45.543800476115000,9.142475232473570,45.453650000000000,9.133364000000000,ILOMBARD204
8845,45.543796682003900,9.145485488442950,45.453650000000000,9.133364000000000,ILOMBARD204
8846,45.543792808568200,9.148495743805490,45.453650000000000,9.133364000000000,ILOMBARD204
8847,45.543788855808000,9.151505998548620,45.453650000000000,9.133364000000000,ILOMBARD204
8848,45.543784823723200,9.154516252659790,45.453650000000000,9.133364000000000,ILOMBARD204
8849,45.543780712314000,9.157526506126440,45.497990000000000,9.240542000000000,IMILANOM4
8850,45.543776521580400,9.160536758936030,45.497990000000000,9.240542000000000,IMILANOM4
8851,45.543772251522400,9.163547011075990,45.497990000000000,9.240542000000000,IMILANOM4
8852,45.543767902140100,9.166557262533760,45.497990000000000,9.240542000000000,IMILANOM4
8853,45.543763473433500,9.169567513296800,45.497990000000000,9.240542000000000,IMILANOM4
8854,45.543758965402600,9.172577763352540,45.497990000000000,9.240542000000000,IMILANOM4
8855,45.543754378047600,9.175588012688440,45.497990000000000,9.240542000000000,IMILANOM4
8856,45.543749711368500,9.178598261291920,45.497990000000000,9.240542000000000,IMILANOM4
8857,45.543744965365300,9.181608509150450,45.497990000000000,9.240542000000000,IMILANOM4
8858,45.543740140038000,9.184618756251450,45.497990000000000,9.240542000000000,IMILANOM4
8859,45.543735235386800,9.187629002582380,45.497990000000000,9.240542000000000,IMILANOM4
8860,45.543730251411700,9.190639248130680,45.497990000000000,9.240542000000000,IMILANOM4
8861,45.543725188112600,9.193649492883800,45.497990000000000,9.240542000000000,IMILANOM4
8862,45.543720045489800,9.196659736829170,45.497990000000000,9.240542000000000,IMILANOM4
8863,45.543714823543300,9.199669979954240,45.497990000000000,9.240542000000000,IMILANOM4
8864,45.543709522273000,9.202680222246460,45.497990000000000,9.240542000000000,IMILANOM4
8865,45.543704141679100,9.205690463693280,45.497990000000000,9.240542000000000,IMILANOM4
8866,45.543698681761600,9.208700704282120,45.497990000000000,9.240542000000000,IMILANOM4
8867,45.543693142520600,9.211710944000450,45.497990000000000,9.240542000000000,IMILANOM4
8868,45.543687523956100,9.214721182835700,45.497990000000000,9.240542000000000,IMILANOM4
8869,45.543681826068300,9.217731420775320,45.497990000000000,9.240542000000000,IMILANOM4
8870,45.543676048857100,9.220741657806750,45.497990000000000,9.240542000000000,IMILANOM4
8871,45.543670192322600,9.223751893917440,45.497990000000000,9.240542000000000,IMILANOM4
8872,45.543664256465000,9.226762129094830,45.497990000000000,9.240542000000000,IMILANOM4
